,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_eht-difmap_0_condorpool,None,auxiliary,0,1714332881.0,,,1714332882.0,,,0.0,1714332886.0,1714332892.0,,,0.0,1714332892.0,1714332897.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L eht-difmap -T 2024-04-11T00:03:48+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
difmapp_ID0000022,hdd_5,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714333164.0,125616950.0,1714332920.0,1714333583.0,1714333442.0,1714333446.0,763713.0,1714333583.0,1714333588.0,5.0,,18.0,663.0,5.0,243.0,1169710926.0,4.0,2656159.0,poseidon,condorpool,poseidon-worker-2-container-44-47,difmapp,/srv/difmapp,,0.8,0,0,0.0,1236337.0,733503.0,17573.0,16174.0,0.3,0.6,2289.5,6668.2
difmapp_ID0000001,None,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714333159.0,5058484.3,1714332920.0,1714333197.0,1714333184.0,1714333187.0,846009.0,1714333197.0,1714333202.0,5.0,,18.0,277.0,5.0,238.0,1169846286.0,3.0,2777030.0,poseidon,condorpool,poseidon-worker-2-container-0-3,difmapp,/srv/difmapp,,0.3,0,0,0.0,479201.0,256835.0,5872.0,5538.0,0.1,0.1,15973.4,8561.2
difmapp_ID0000012,None,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714333162.0,93024836.2,1714332920.0,1714333212.0,1714333200.0,1714333203.0,820679.0,1714333212.0,1714333217.0,5.0,,18.0,292.0,5.0,241.0,1169929806.0,3.0,2864083.0,poseidon,condorpool,poseidon-worker-2-container-28-31,difmapp,/srv/difmapp,,0.6,0,0,0.0,638571.0,402213.0,8965.0,8574.0,0.2,0.4,10642.9,6703.6
difmapp_ID0000004,hdd_5,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714332943.0,130103633.8,1714332920.0,1714333187.0,1714333174.0,1714333178.0,801699.0,1714333187.0,1714333192.0,5.0,,18.0,267.0,5.0,22.0,1169794446.0,4.0,2730916.0,poseidon,condorpool,poseidon-worker-1-container-44-47,difmapp,/srv/difmapp,,0.3,0,0,0.0,495783.0,276059.0,6152.0,5824.0,0.1,0.2,16526.1,9202.0
difmapp_ID0000026,hdd_5,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714333164.0,129244885.2,1714332920.0,1714333583.0,1714333442.0,1714333446.0,782177.0,1714333583.0,1714333588.0,5.0,,18.0,663.0,5.0,243.0,1169710926.0,4.0,2657210.0,poseidon,condorpool,poseidon-worker-2-container-32-35,difmapp,/srv/difmapp,,0.9,0,0,0.0,1266550.0,763731.0,18271.0,16872.0,0.3,0.7,2345.5,6364.4
difmapp_ID0000015,None,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714333159.0,4462011.9,1714332920.0,1714333192.0,1714333182.0,1714333185.0,717678.0,1714333192.0,1714333197.0,5.0,,18.0,272.0,5.0,238.0,1169368206.0,3.0,2345144.0,poseidon,condorpool,poseidon-worker-2-container-40-43,difmapp,/srv/difmapp,,0.2,0,0,0.0,466326.0,248050.0,5438.0,5122.0,0.1,0.1,23316.3,12402.5
difmapp_ID0000008,None,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714332937.0,131256460.2,1714332920.0,1714333187.0,1714333174.0,1714333178.0,835793.0,1714333187.0,1714333192.0,5.0,,18.0,267.0,5.0,16.0,1169895246.0,4.0,2830977.0,poseidon,condorpool,poseidon-worker-1-container-36-39,difmapp,/srv/difmapp,,0.5,0,0,0.0,677587.0,435753.0,9573.0,9170.0,0.2,0.3,11293.1,7262.6
difmapp_ID0000019,None,compute,0,1714332897.0,,,1714332902.0,1714332921.0,1714333159.0,4403501.9,1714332920.0,1714333192.0,1714333182.0,1714333185.0,720742.0,1714333192.0,1714333197.0,5.0,,18.0,272.0,5.0,238.0,1169388366.0,3.0,2363009.0,poseidon,condorpool,poseidon-worker-2-container-20-23,difmapp,/srv/difmapp,,0.2,0,0,0.0,456464.0,239553.0,5253.0,4940.0,0.1,0.1,22823.2,11977.6
difmap-imgsum_ID0000011,None,compute,0,1714333192.0,,,1714333197.0,1714333198.0,1714333215.0,130574318.2,1714333198.0,1714334058.0,1714334048.0,1714334051.0,86512.0,1714334058.0,1714334063.0,5.0,,1.0,860.0,5.0,17.0,1170966524.0,3.0,280917.0,poseidon,condorpool,poseidon-worker-2-container-40-43,difmap-imgsum,/srv/difmap-imgsum,,32.4,0,0,1.1,290077971.0,24648172.0,152533.0,6066.0,18.4,3.2,250067.2,308102.2
