,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_eht-imaging_0_condorpool,None,auxiliary,0,1714657872.0,,,1714657873.0,,,0.0,1714657877.0,1714657883.0,,,0.0,1714657883.0,1714657888.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L eht-imaging -T 2024-04-11T00:03:48+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
eht-imaging_pipeline_ID0000001,None,compute,0,1714657888.0,,,1714657893.0,1714657908.0,1714657924.0,130657463.8,1714657907.0,1714658069.0,1714658060.0,1714658063.0,164379.0,1714658069.0,1714658074.0,5.0,,14.0,162.0,5.0,16.0,1152496270.0,3.0,521049.0,poseidon,condorpool,poseidon-worker-2-container-40-43,eht-imaging_pipeline,/srv/eht-imaging_pipeline,,62.1,0,0,0.1,348147180.0,42155764.0,177232.0,7535.0,49.3,3.8,1339027.6,324275.1
eht-imaging_pipeline_ID0000003,hdd_10,compute,0,1714657888.0,,,1714657893.0,1714657908.0,1714657924.0,126376161.8,1714657907.0,1714658079.0,1714658067.0,1714658070.0,174966.0,1714658079.0,1714658084.0,5.0,,14.0,172.0,5.0,16.0,1152899470.0,3.0,553659.0,poseidon,condorpool,poseidon-worker-1-container-40-43,eht-imaging_pipeline,/srv/eht-imaging_pipeline,,71.5,0,0,67.6,329822703.0,40269439.0,166906.0,7124.0,57.5,2.7,1221565.6,287638.8
eht-imaging_pipeline_ID0000005,hdd_10,compute,0,1714657888.0,,,1714657893.0,1714657908.0,1714657924.0,130511936.8,1714657907.0,1714658069.0,1714658057.0,1714658060.0,158560.0,1714658069.0,1714658074.0,5.0,,14.0,162.0,5.0,16.0,1151830990.0,3.0,512010.0,poseidon,condorpool,poseidon-worker-2-container-44-47,eht-imaging_pipeline,/srv/eht-imaging_pipeline,,47.2,0,0,74.4,316281769.0,46771820.0,155179.0,6253.0,34.3,3.4,1265127.1,467718.2
eht-imaging_pipeline_ID0000007,hdd_10,compute,0,1714657888.0,,,1714657893.0,1714657908.0,1714657924.0,131715930.5,1714657907.0,1714658074.0,1714658061.0,1714658065.0,172613.0,1714658074.0,1714658079.0,5.0,,14.0,167.0,5.0,16.0,1152715150.0,4.0,546081.0,poseidon,condorpool,poseidon-worker-2-container-28-31,eht-imaging_pipeline,/srv/eht-imaging_pipeline,,65.3,0,0,66.9,335063448.0,46871745.0,166326.0,7035.0,51.2,3.5,1288705.6,360551.9
eht-imaging_postprocessing_ID0000002,hdd_10,compute,0,1714658074.0,,,1714658079.0,1714658080.0,1714658099.0,126165418.0,1714658079.0,1714658224.0,1714658210.0,1714658214.0,55711.0,1714658224.0,1714658229.0,5.0,,0.0,145.0,5.0,19.0,1151392645.0,4.0,179912.0,poseidon,condorpool,poseidon-worker-2-container-28-31,eht-imaging_postprocessing,/srv/eht-imaging_postprocessing,,5.0,0,0,0.1,58796158.0,233743.0,28687.0,17.0,3.5,1.4,5879615.8,23374.3
eht-imaging_postprocessing_ID0000006,hdd_10,compute,0,1714658074.0,,,1714658079.0,1714658080.0,1714658097.0,122913587.9,1714658079.0,1714658224.0,1714658210.0,1714658214.0,58883.0,1714658224.0,1714658229.0,5.0,,0.0,145.0,5.0,17.0,1151392645.0,4.0,192674.0,poseidon,condorpool,poseidon-worker-2-container-44-47,eht-imaging_postprocessing,/srv/eht-imaging_postprocessing,,5.4,0,0,0.0,57616251.0,53704.0,27653.0,11.0,3.2,1.7,5761625.1,5370.4
eht-imaging_postprocessing_ID0000008,hdd_10,compute,0,1714658079.0,,,1714658084.0,1714658085.0,1714658102.0,125443808.1,1714658085.0,1714658224.0,1714658212.0,1714658215.0,61096.0,1714658224.0,1714658229.0,5.0,,1.0,139.0,5.0,17.0,1151392645.0,3.0,190041.0,poseidon,condorpool,poseidon-worker-1-container-40-43,eht-imaging_postprocessing,/srv/eht-imaging_postprocessing,,5.0,0,0,0.1,58797530.0,243872.0,28690.0,17.0,3.5,1.4,5879753.0,24387.2
eht-imaging_postprocessing_ID0000004,None,compute,0,1714658084.0,,,1714658089.0,1714658090.0,1714658106.0,130965285.2,1714658090.0,1714658224.0,1714658210.0,1714658214.0,54958.0,1714658224.0,1714658229.0,5.0,,1.0,134.0,5.0,16.0,1151392645.0,4.0,179453.0,poseidon,condorpool,poseidon-worker-2-container-40-43,eht-imaging_postprocessing,/srv/eht-imaging_postprocessing,,5.0,0,0,0.1,58796159.0,233284.0,28687.0,17.0,3.5,1.4,5879615.9,23328.4
stage_out_local_condorpool_0_0,None,transfer,0,1714658084.0,,,1714658089.0,,,0.0,1714658090.0,1714658099.0,1714658090.0,1714658094.0,528871.0,1714658099.0,1714658104.0,5.0,,1.0,9.0,5.0,,,4.0,2132799.0,poseidon,local,poseidon-submit,pegasus::transfer,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,/home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L eht-imaging -T 2024-04-11T00:03:48+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer  --threads 2,1.2,0,0,,,,,,,,,
