,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_eht-smili_0_condorpool,None,auxiliary,0,1714938139.0,,,1714938140.0,,,0.0,1714938144.0,1714938150.0,,,0.0,1714938150.0,1714938155.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L eht-smili -T 2024-04-11T00:03:48+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
smili_imaging_pipeline_ID0000008,None,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,175233313.3,1714938166.0,1714938275.0,1714938263.0,1714938266.0,72971.0,1714938275.0,1714938280.0,5.0,,6.0,109.0,5.0,22.0,2393407551.0,3.0,204480.0,poseidon,condorpool,poseidon-worker-1-container-44-47,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,19.1,0,0,0.1,46770605.0,1206203.0,10863.0,302.0,13.3,2.3,359773.9,17231.5
smili_imaging_pipeline_ID0000006,None,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,171111017.6,1714938166.0,1714938270.0,1714938261.0,1714938264.0,64405.0,1714938270.0,1714938275.0,5.0,,6.0,104.0,5.0,22.0,2393084991.0,3.0,181440.0,poseidon,condorpool,poseidon-worker-2-container-24-27,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,17.3,0,0,0.1,46755253.0,1106774.0,10868.0,263.0,12.5,2.1,359655.8,15811.1
smili_imaging_pipeline_ID0000007,None,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,175346470.5,1714938166.0,1714938275.0,1714938262.0,1714938265.0,71015.0,1714938275.0,1714938280.0,5.0,,6.0,109.0,5.0,22.0,2393407551.0,3.0,198720.0,poseidon,condorpool,poseidon-worker-2-container-36-39,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,18.0,0,0,0.1,46804429.0,1200444.0,10868.0,301.0,12.8,1.9,360034.1,15005.5
smili_imaging_pipeline_ID0000004,cpu_3,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,173775863.2,1714938166.0,1714938275.0,1714938264.0,1714938267.0,76589.0,1714938275.0,1714938280.0,5.0,,6.0,109.0,5.0,22.0,2393626431.0,3.0,216000.0,poseidon,condorpool,poseidon-worker-2-container-44-47,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,19.9,0,0,0.1,46860454.0,1415887.0,10901.0,337.0,17.5,1.9,334717.5,23598.1
smili_imaging_pipeline_ID0000005,cpu_3,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,173373373.0,1714938166.0,1714938270.0,1714938261.0,1714938264.0,62214.0,1714938270.0,1714938275.0,5.0,,6.0,104.0,5.0,22.0,2393064831.0,3.0,190080.0,poseidon,condorpool,poseidon-worker-1-container-40-43,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,17.0,0,0,0.0,46751434.0,1128949.0,10876.0,267.0,12.5,2.0,359626.4,14111.9
smili_imaging_pipeline_ID0000002,None,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,169099229.4,1714938166.0,1714938275.0,1714938264.0,1714938266.0,71347.0,1714938275.0,1714938280.0,5.0,,6.0,109.0,5.0,22.0,2393491071.0,2.0,201600.0,poseidon,condorpool,poseidon-worker-1-container-0-3,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,19.1,0,0,0.1,47131095.0,1279052.0,10892.0,361.0,13.5,2.3,362546.9,18272.2
smili_imaging_pipeline_ID0000003,cpu_3,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,175870150.1,1714938166.0,1714938275.0,1714938264.0,1714938267.0,75787.0,1714938275.0,1714938280.0,5.0,,6.0,109.0,5.0,22.0,2393591871.0,3.0,216000.0,poseidon,condorpool,poseidon-worker-2-container-28-31,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,19.6,0,0,0.2,46930372.0,1282643.0,10880.0,319.0,14.1,2.0,361002.9,21377.4
smili_imaging_pipeline_ID0000001,None,compute,0,1714938155.0,,,1714938160.0,1714938167.0,1714938189.0,175174277.0,1714938167.0,1714938275.0,1714938264.0,1714938267.0,73982.0,1714938275.0,1714938280.0,5.0,,7.0,108.0,5.0,22.0,2393542911.0,3.0,210240.0,poseidon,condorpool,poseidon-worker-1-container-36-39,smili_imaging_pipeline,/srv/smili_imaging_pipeline,,19.7,0,0,0.0,47139278.0,1293295.0,10895.0,366.0,13.9,2.3,362609.8,18475.6
smili_postprocessing_ID0000011,None,compute,0,1714938275.0,,,1714938280.0,1714938281.0,1714938302.0,175413621.1,1714938280.0,1714938325.0,1714938312.0,1714938315.0,107906.0,1714938325.0,1714938330.0,5.0,,0.0,45.0,5.0,21.0,2392944358.0,3.0,309879.0,poseidon,condorpool,poseidon-worker-1-container-0-3,smili_postprocessing,/srv/smili_postprocessing,,4.5,0,0,,,,,,,,,
smili_postprocessing_ID0000009,None,compute,0,1714938280.0,,,1714938285.0,1714938286.0,1714938307.0,176989740.1,1714938285.0,1714938330.0,1714938318.0,1714938320.0,109127.0,1714938330.0,1714938335.0,5.0,,0.0,45.0,5.0,21.0,2392955878.0,2.0,306346.0,poseidon,condorpool,poseidon-worker-2-container-24-27,smili_postprocessing,/srv/smili_postprocessing,,4.7,0,0,,,,,,,,,
smili_postprocessing_ID0000010,cpu_3,compute,0,1714938280.0,,,1714938285.0,1714938286.0,1714938307.0,176935240.8,1714938285.0,1714938330.0,1714938317.0,1714938320.0,108125.0,1714938330.0,1714938335.0,5.0,,0.0,45.0,5.0,21.0,2392947238.0,3.0,301883.0,poseidon,condorpool,poseidon-worker-2-container-44-47,smili_postprocessing,/srv/smili_postprocessing,,4.5,0,0,,,,,,,,,
stage_out_local_condorpool_0_0,None,transfer,0,1714938280.0,,,1714938285.0,,,0.0,1714938285.0,1714938295.0,1714938285.0,1714938289.0,401762.0,1714938295.0,1714938300.0,5.0,,0.0,10.0,5.0,,,4.0,1618560.0,poseidon,local,poseidon-submit,pegasus::transfer,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,/home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L eht-smili -T 2024-04-11T00:03:48+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer  --threads 2,2.0,0,0,,,,,,,,,
smili_postprocessing_ID0000012,cpu_3,compute,0,1714938280.0,,,1714938285.0,1714938286.0,1714938307.0,177172919.3,1714938285.0,1714938330.0,1714938317.0,1714938320.0,113818.0,1714938330.0,1714938335.0,5.0,,0.0,45.0,5.0,21.0,2392952998.0,3.0,316811.0,poseidon,condorpool,poseidon-worker-2-container-28-31,smili_postprocessing,/srv/smili_postprocessing,,4.5,0,0,,,,,,,,,
stage_out_local_condorpool_1_0,None,transfer,0,1714938335.0,,,1714938340.0,,,0.0,1714938340.0,1714938350.0,1714938341.0,1714938345.0,306734.0,1714938350.0,1714938355.0,5.0,,0.0,10.0,5.0,,,4.0,1234919.0,poseidon,local,poseidon-submit,pegasus::transfer,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,/home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L eht-smili -T 2024-04-11T00:03:48+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer  --threads 2,0.5,0,0,,,,,,,,,
cleanup_eht-smili_0_condorpool,None,auxiliary,0,1714938355.0,,,1714938360.0,,,0.0,1714938360.0,1714938370.0,,,0.0,1714938370.0,1714938375.0,5.0,,0.0,10.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::cleanup,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::cleanup -N null -i - -R local  -L eht-smili -T 2024-04-11T00:03:48+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
