,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_pycbc-inference_0_condorpool,None,auxiliary,0,1712538895.0,,,1712538896.0,,,0.0,1712538900.0,1712538906.0,,,0.0,1712538906.0,1712538911.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L pycbc-inference -T 2024-03-26T22:56:52+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
inference_ID1_ID0000001,hdd_5,compute,0,1712538911.0,,,1712538916.0,1712538925.0,1712538945.0,121247839.3,1712538925.0,1712539321.0,1712539306.0,1712539312.0,56084190.0,1712539321.0,1712539326.0,5.0,,9.0,396.0,5.0,20.0,1564500734.0,6.0,346508427.0,poseidon,condorpool,poseidon-worker-2-container-32-35,inference_ID1,/usr/local/bin/pycbc_inference,,56.9,0,0,0.0,1532985447.0,724565396.0,52374.0,22470.0,50.2,4.7,13936231.3,6586958.1
page_versioning_ID8_ID0000008,hdd_5,compute,0,1712538911.0,,,1712538916.0,1712538925.0,1712538934.0,159606654.0,1712538925.0,1712539316.0,1712539306.0,1712539309.0,1669.0,1712539316.0,1712539321.0,5.0,,9.0,391.0,5.0,9.0,1379880960.0,3.0,5344.0,poseidon,condorpool,poseidon-worker-2-container-24-27,page_versioning_ID8,/usr/local/bin/pycbc_page_versioning,,14.5,0,0,0.0,208224732.0,263165.0,36280.0,221.0,2.1,1.5,10411236.6,13158.2
plot_prior_ID6_ID0000006,hdd_5,compute,0,1712538911.0,,,1712538916.0,1712538925.0,1712538946.0,133889885.8,1712538925.0,1712539216.0,1712539206.0,1712539210.0,43169.0,1712539216.0,1712539221.0,5.0,,9.0,291.0,5.0,21.0,1379884044.0,4.0,137503.0,poseidon,condorpool,poseidon-worker-1-container-44-47,plot_prior_ID6,/usr/local/bin/pycbc_inference_plot_prior,,8.9,0,0,0.1,36209710.0,63083.0,8325.0,34.0,3.6,1.3,3620971.0,6308.3
extract_posterior_ID2_ID0000002,hdd_5,compute,0,1712539326.0,,,1712539331.0,1712539332.0,1712539350.0,143614550.6,1712539331.0,1712539757.0,1712539741.0,1712539747.0,56193971.0,1712539757.0,1712539762.0,5.0,,0.0,426.0,5.0,18.0,1726389387.0,6.0,346507779.0,poseidon,condorpool,poseidon-worker-2-container-32-35,extract_posterior_ID2,/usr/local/bin/pycbc_inference_extract_samples,,2.4,0,0,,,,,,,,,
plot_spectrum_ID7_ID0000007,hdd_5,compute,0,1712539326.0,,,1712539331.0,1712539332.0,1712539356.0,147353184.9,1712539331.0,1712539752.0,1712539741.0,1712539744.0,59820.0,1712539752.0,1712539757.0,5.0,,0.0,421.0,5.0,24.0,1726389387.0,3.0,192576.0,poseidon,condorpool,poseidon-worker-2-container-24-27,plot_spectrum_ID7,/usr/local/bin/pycbc_plot_psd_file,,3.6,0,0,,,,,,,,,
stage_out_local_condorpool_0_0,None,transfer,0,1712539326.0,,,1712539331.0,,,0.0,1712539331.0,1712539341.0,1712539331.0,1712539335.0,86068259.0,1712539341.0,1712539346.0,5.0,,0.0,10.0,5.0,,,4.0,346651274.0,poseidon,local,poseidon-submit,pegasus::transfer,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,/home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L pycbc-inference -T 2024-03-26T22:56:52+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer  --threads 2,1.3,0,0,,,,,,,,,
register_condorpool_0_0,None,auxiliary,0,1712539346.0,,,1712539351.0,,,0.0,1712539351.0,1712539356.0,,,0.0,1712539356.0,1712539361.0,5.0,,0.0,5.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::rc-client,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client,"-n pegasus::rc-client -N null -R local  -L pycbc-inference -T 2024-03-26T22:56:52+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/pegasus-rc-client --prefix pegasus.catalog.replica.output --conf /mnt/poseidon-data/poseidon/workflows/pycbc/inference/poseidon/submit/poseidon/pegasus/pycbc-inference/run0360/pegasus.9928002934040587404.properties -v --meta /mnt/poseidon-data/poseidon/workflows/pycbc/inference/poseidon/submit/poseidon/pegasus/pycbc-inference/run0360/00/00/plot_prior_ID6_ID0000006.meta,/mnt/poseidon-data/poseidon/workflows/pycbc/inference/poseidon/submit/poseidon/pegasus/pycbc-inference/run0360/00/00/page_versioning_ID8_ID0000008.meta,/mnt/poseidon-data/poseidon/workflows/pycbc/inference/poseidon/submit/poseidon/pegasus/pycbc-inference/run0360/00/00/inference_ID1_ID0000001.meta --insert /mnt/poseidon-data/poseidon/workflows/pycbc/inference/poseidon/submit/poseidon/pegasus/pycbc-inference/run0360/00/00/register_condorpool_0_0.in",2.7,0,0,,,,,,,,,
stage_out_local_condorpool_1_0,None,transfer,0,1712539762.0,,,1712539767.0,,,0.0,1712539767.0,1712539777.0,1712539767.0,1712539772.0,86113558.0,1712539777.0,1712539782.0,5.0,,0.0,10.0,5.0,,,5.0,346700355.0,poseidon,local,poseidon-submit,pegasus::transfer,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,/home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L pycbc-inference -T 2024-03-26T22:56:52+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer  --threads 2,1.2,0,0,,,,,,,,,
plot_posterior_summary_ID4_ID0000004,hdd_5,compute,0,1712539762.0,,,1712539767.0,1712539769.0,1712539833.0,39524359.3,1712539768.0,1712540467.0,1712540458.0,1712540461.0,21790.0,1712540467.0,1712540472.0,5.0,,1.0,699.0,5.0,64.0,1726391823.0,3.0,69682.0,poseidon,condorpool,poseidon-worker-2-container-32-35,plot_posterior_summary_ID4,/usr/local/bin/pycbc_inference_plot_posterior,,4.2,0,0,,,,,,,,,
