,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_pycbc-search_0_condorpool,None,auxiliary,0,1716425850.0,,,1716425851.0,,,0.0,1716425857.0,1716425866.0,,,0.0,1716425866.0,1716425871.0,1.0,,6.0,9.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L pycbc-search -T 2024-03-27T21:26:08+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
create_dir_pycbc-search_0_local,None,auxiliary,0,1716425850.0,,,1716425851.0,,,0.0,1716425857.0,1716425866.0,,,0.0,1716425866.0,1716425871.0,1.0,,6.0,9.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L pycbc-search -T 2024-03-27T21:26:08+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
calculate_psd_ID38_ID0000041,None,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425906.0,115246965.0,1716425886.0,1716425951.0,1716425940.0,1716425943.0,6090890.0,1716425951.0,1716425956.0,5.0,,10.0,65.0,5.0,19.0,1485630519.0,3.0,17785535.0,poseidon,condorpool,poseidon-worker-2-container-36-39,calculate_psd_ID38,/usr/local/bin/pycbc_calculate_psd,,29.1,0,0,0.1,661358613.0,28825.0,4758.0,33.0,19.8,5.1,13227172.3,2882.5
calculate_psd_ID38_ID0000040,None,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425904.0,139871348.6,1716425886.0,1716425951.0,1716425938.0,1716425941.0,6043585.0,1716425951.0,1716425956.0,5.0,,10.0,65.0,5.0,17.0,1488783041.0,3.0,17717127.0,poseidon,condorpool,poseidon-worker-1-container-44-47,calculate_psd_ID38,/usr/local/bin/pycbc_calculate_psd,,29.2,0,0,0.0,680272354.0,28825.0,4758.0,33.0,19.9,4.9,13605447.1,2882.5
page_segtable_ID45_ID0000046,cpu_3,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425909.0,89502059.1,1716425886.0,1716425926.0,1716425917.0,1716425919.0,870.0,1716425926.0,1716425931.0,5.0,,10.0,40.0,5.0,22.0,1379890407.0,2.0,2496.0,poseidon,condorpool,poseidon-worker-2-container-32-35,page_segtable_ID45,/usr/local/bin/pycbc_page_segtable,,2.8,0,0,,,,,,,,,
page_segtable_ID45_ID0000048,cpu_3,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425905.0,115198133.6,1716425886.0,1716425921.0,1716425913.0,1716425915.0,883.0,1716425921.0,1716425926.0,5.0,,10.0,35.0,5.0,18.0,1379890267.0,2.0,2376.0,poseidon,condorpool,poseidon-worker-1-container-36-39,page_segtable_ID45,/usr/local/bin/pycbc_page_segtable,,2.8,0,0,,,,,,,,,
plot_segments_ID43_ID0000044,cpu_3,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425903.0,127457069.4,1716425886.0,1716425921.0,1716425912.0,1716425914.0,8914.0,1716425921.0,1716425926.0,5.0,,10.0,35.0,5.0,16.0,1379884331.0,2.0,24223.0,poseidon,condorpool,poseidon-worker-2-container-40-43,plot_segments_ID43,/usr/local/bin/pycbc_page_segments,,2.8,0,0,,,,,,,,,
injections_ID123_ID0000132,None,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425895.0,180336037.0,1716425886.0,1716425911.0,1716425901.0,1716425904.0,14268.0,1716425911.0,1716425916.0,5.0,,10.0,25.0,5.0,8.0,1379880960.0,3.0,40346.0,poseidon,condorpool,poseidon-worker-2-container-28-31,injections_ID123,/usr/local/bin/lalapps_inspinj,,0.2,0,0,,,,,,,,,
page_versioning_ID174_ID0000184,None,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425895.0,178222653.0,1716425886.0,1716425986.0,1716425977.0,1716425980.0,18095.0,1716425986.0,1716425991.0,5.0,,10.0,100.0,5.0,8.0,1379880960.0,3.0,54037.0,poseidon,condorpool,poseidon-worker-2-container-24-27,page_versioning_ID174,/usr/local/bin/pycbc_page_versioning,,76.5,0,0,0.0,1731491856.0,2187705.0,279642.0,2410.0,8.1,2.6,11543279.0,14584.7
calculate_psd_ID38_ID0000039,None,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425904.0,150472674.6,1716425886.0,1716425951.0,1716425938.0,1716425941.0,5985739.0,1716425951.0,1716425956.0,5.0,,10.0,65.0,5.0,17.0,1509359540.0,3.0,18080428.0,poseidon,condorpool,poseidon-worker-1-container-28-31,calculate_psd_ID38,/usr/local/bin/pycbc_calculate_psd,,29.0,0,0,0.1,803729987.0,28825.0,4752.0,33.0,21.0,3.9,16074599.7,2882.5
page_segplot_ID46_ID0000047,None,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425905.0,114897096.9,1716425886.0,1716425926.0,1716425913.0,1716425916.0,19797.0,1716425926.0,1716425931.0,5.0,,10.0,40.0,5.0,18.0,1379890407.0,3.0,54164.0,poseidon,condorpool,poseidon-worker-2-container-44-47,page_segplot_ID46,/usr/local/bin/pycbc_page_segplot,,3.2,0,0,,,,,,,,,
bank2hdf_ID0_ID0000001,None,compute,0,1716425871.0,,,1716425876.0,1716425887.0,1716425904.0,122880560.0,1716425886.0,1716425921.0,1716425911.0,1716425914.0,12170.0,1716425921.0,1716425926.0,5.0,,10.0,35.0,5.0,17.0,1379906606.0,3.0,33190.0,poseidon,condorpool,poseidon-worker-1-container-20-23,bank2hdf_ID0,/usr/local/bin/pycbc_coinc_bank2hdf,,2.2,0,0,,,,,,,,,
inj2hdf_ID124_ID0000133,cpu_3,compute,0,1716425916.0,,,1716425921.0,1716425922.0,1716425938.0,140721567.1,1716425921.0,1716425956.0,1716425945.0,1716425948.0,23108.0,1716425956.0,1716425961.0,5.0,,0.0,35.0,5.0,16.0,1379921306.0,3.0,63156.0,poseidon,condorpool,poseidon-worker-2-container-40-43,inj2hdf_ID124,/usr/local/bin/pycbc_convertinjfiletohdf,,2.1,0,0,,,,,,,,,
splitbank_ID1_ID0000002,None,compute,0,1716425926.0,,,1716425931.0,1716425932.0,1716425947.0,138836451.2,1716425931.0,1716425966.0,1716425954.0,1716425957.0,12112.0,1716425966.0,1716425971.0,5.0,,0.0,35.0,5.0,15.0,1379914150.0,3.0,33190.0,poseidon,condorpool,poseidon-worker-2-container-44-47,splitbank_ID1,/usr/local/bin/pycbc_hdf5_splitbank,,1.9,0,0,,,,,,,,,
splitbank_ID1_ID0000131,cpu_3,compute,0,1716425926.0,,,1716425931.0,1716425932.0,1716425947.0,141320660.3,1716425931.0,1716425966.0,1716425954.0,1716425957.0,12213.0,1716425966.0,1716425971.0,5.0,,0.0,35.0,5.0,15.0,1379914150.0,3.0,33190.0,poseidon,condorpool,poseidon-worker-1-container-36-39,splitbank_ID1,/usr/local/bin/pycbc_hdf5_splitbank,,1.8,0,0,,,,,,,,,
plot_bank_ID2_ID0000003,None,compute,0,1716425926.0,,,1716425931.0,1716425932.0,1716425947.0,142462951.8,1716425931.0,1716425966.0,1716425955.0,1716425958.0,8398.0,1716425966.0,1716425971.0,5.0,,0.0,35.0,5.0,15.0,1379914150.0,3.0,22779.0,poseidon,condorpool,poseidon-worker-2-container-28-31,plot_bank_ID2,/usr/local/bin/pycbc_plot_bank_bins,,2.7,0,0,,,,,,,,,
plot_range_ID42_ID0000043,cpu_3,compute,0,1716425956.0,,,1716425961.0,1716425962.0,1716425979.0,144437432.0,1716425962.0,1716426001.0,1716425990.0,1716425993.0,18050.0,1716426001.0,1716426006.0,5.0,,1.0,39.0,5.0,17.0,1433464050.0,3.0,49604.0,poseidon,condorpool,poseidon-worker-2-container-40-43,plot_range_ID42,/usr/local/bin/pycbc_plot_range,,3.9,0,0,0.1,69399310.0,63083.0,11659.0,34.0,1.9,1.3,6939931.0,6308.3
plot_spectrum_ID41_ID0000042,None,compute,0,1716425956.0,,,1716425961.0,1716425962.0,1716425979.0,137789518.8,1716425962.0,1716426001.0,1716425990.0,1716425993.0,100803.0,1716426001.0,1716426006.0,5.0,,1.0,39.0,5.0,17.0,1433464050.0,3.0,287143.0,poseidon,condorpool,poseidon-worker-1-container-44-47,plot_spectrum_ID41,/usr/local/bin/pycbc_plot_psd_file,,5.5,0,0,0.0,86200646.0,63083.0,12891.0,34.0,3.3,1.5,8620064.6,6308.3
optimal_snr_ID125_ID0000134,None,compute,0,1716425961.0,,,1716425966.0,1716425967.0,1716425983.0,146590871.1,1716425967.0,1716426006.0,1716425997.0,1716426000.0,18248.0,1716426006.0,1716426011.0,5.0,,1.0,39.0,5.0,16.0,1433527206.0,3.0,50176.0,poseidon,condorpool,poseidon-worker-2-container-28-31,optimal_snr_ID125,/usr/local/bin/pycbc_optimal_snr,,8.0,0,0,0.0,86797160.0,28374.0,11461.0,26.0,3.5,1.3,8679716.0,2837.4
