,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_somospie_0_condorpool,None,auxiliary,0,1711884499.0,,,1711884500.0,,,0.0,1711884505.0,1711884510.0,,,0.0,1711884510.0,1711884515.0,1.0,,5.0,5.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L somospie -T 2024-03-27T17:59:14+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
get_sm_ID0000019,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884560.0,39879445.6,1711884540.0,1711884580.0,1711884567.0,1711884570.0,271861.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,19.0,459739344.0,3.0,873152.0,poseidon,condorpool,poseidon-worker-1-container-32-35,get_sm,/srv/get_sm,,2.0,0,0,,,,,,,,,
get_sm_ID0000018,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884562.0,33040457.4,1711884540.0,1711884580.0,1711884569.0,1711884572.0,221582.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,21.0,449409643.0,3.0,716593.0,poseidon,condorpool,poseidon-worker-2-container-36-39,get_sm,/srv/get_sm,,2.0,0,0,,,,,,,,,
get_sm_ID0000017,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884561.0,35551648.4,1711884540.0,1711884580.0,1711884568.0,1711884571.0,190175.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,20.0,444771924.0,3.0,613264.0,poseidon,condorpool,poseidon-worker-1-container-4-7,get_sm,/srv/get_sm,,1.9,0,0,,,,,,,,,
get_sm_ID0000016,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884558.0,46443151.9,1711884540.0,1711884575.0,1711884565.0,1711884568.0,169731.0,1711884575.0,1711884580.0,5.0,,20.0,35.0,5.0,17.0,436178789.0,3.0,550490.0,poseidon,condorpool,poseidon-worker-1-container-40-43,get_sm,/srv/get_sm,,1.7,0,0,,,,,,,,,
get_sm_ID0000026,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884561.0,30983363.1,1711884540.0,1711884580.0,1711884568.0,1711884571.0,188347.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,20.0,442257808.0,3.0,608523.0,poseidon,condorpool,poseidon-worker-1-container-44-47,get_sm,/srv/get_sm,,1.9,0,0,,,,,,,,,
get_sm_ID0000015,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884561.0,31550370.3,1711884540.0,1711884580.0,1711884568.0,1711884572.0,167687.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,20.0,440090843.0,4.0,551360.0,poseidon,condorpool,poseidon-worker-2-container-28-31,get_sm,/srv/get_sm,,1.8,0,0,,,,,,,,,
merge_ID0000001,cpu_3,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884562.0,125906888.7,1711884540.0,1711884635.0,1711884610.0,1711884625.0,91472656.0,1711884635.0,1711884640.0,5.0,,20.0,95.0,5.0,21.0,1726068480.0,15.0,1298102725.0,poseidon,condorpool,poseidon-worker-1-container-12-15,merge,/srv/merge,,37.3,0,0,0.0,954153560.0,1253047611.0,9955.0,38268.0,28.2,1.7,31805118.7,41768253.7
get_sm_ID0000024,cpu_3,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884561.0,34694241.0,1711884540.0,1711884580.0,1711884568.0,1711884571.0,255401.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,20.0,457521962.0,3.0,830231.0,poseidon,condorpool,poseidon-worker-2-container-24-27,get_sm,/srv/get_sm,,1.9,0,0,,,,,,,,,
get_sm_ID0000023,cpu_3,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884567.0,25367211.0,1711884540.0,1711884585.0,1711884574.0,1711884577.0,295894.0,1711884585.0,1711884590.0,5.0,,20.0,45.0,5.0,26.0,467398273.0,3.0,943297.0,poseidon,condorpool,poseidon-worker-2-container-44-47,get_sm,/srv/get_sm,,1.8,0,0,,,,,,,,,
get_sm_ID0000022,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884560.0,37741052.9,1711884540.0,1711884580.0,1711884568.0,1711884571.0,296513.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,19.0,475800760.0,3.0,952852.0,poseidon,condorpool,poseidon-worker-1-container-36-39,get_sm,/srv/get_sm,,2.1,0,0,,,,,,,,,
get_sm_ID0000021,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884559.0,43863725.4,1711884540.0,1711884575.0,1711884566.0,1711884569.0,296509.0,1711884575.0,1711884580.0,5.0,,20.0,35.0,5.0,18.0,475840244.0,3.0,951505.0,poseidon,condorpool,poseidon-worker-1-container-20-23,get_sm,/srv/get_sm,,2.0,0,0,,,,,,,,,
get_sm_ID0000020,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884560.0,38444796.0,1711884540.0,1711884580.0,1711884567.0,1711884571.0,289524.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,19.0,470635724.0,4.0,945682.0,poseidon,condorpool,poseidon-worker-2-container-32-35,get_sm,/srv/get_sm,,1.9,0,0,,,,,,,,,
get_sm_ID0000025,None,compute,0,1711884515.0,,,1711884520.0,1711884541.0,1711884562.0,31523471.3,1711884540.0,1711884580.0,1711884569.0,1711884572.0,221359.0,1711884580.0,1711884585.0,5.0,,20.0,40.0,5.0,21.0,447555942.0,3.0,712778.0,poseidon,condorpool,poseidon-worker-2-container-0-3,get_sm,/srv/get_sm,,1.8,0,0,,,,,,,,,
stage_out_local_condorpool_0_1,None,transfer,0,1711884585.0,,,1711884590.0,,,0.0,1711884590.0,1711884595.0,,,0.0,1711884595.0,1711884600.0,5.0,,0.0,5.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::transfer,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,/home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L somospie -T 2024-03-27T17:59:14+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer  --threads 2,0.7,0,0,,,,,,,,,
