dataset,accuracy,f1_score,roc_auc
1000genome,0.8068126520681265,0.696051624193372,0.8799659861212804
casa_nowcast,0.7886322389672451,0.42458517183518735,0.755373185660271
casa_wind_speed,0.8111970334192556,0.40126201061236194,0.766647414584758
eht_difmap,0.7965725806451613,0.40751614797416325,0.7281623125302371
eht_imaging,0.8592017738359202,0.5171102661596958,0.8448887630931797
eht_smili,0.8551867219917012,0.5642946317103621,0.836754117263901
montage,0.8022959183673469,0.4014043300175541,0.7694040094319173
predict_future_sales,0.8673774784885896,0.5935099185873179,0.8970895189137994
pycbc_inference,0.8797344787192503,0.5780821917808219,0.8938901164758017
pycbc_search,0.817249342140594,0.37425681887833284,0.7619390353982516
somospie,0.8442244224422443,0.5286284953395473,0.8507983517719486
variant_calling,0.8261532162678555,0.4990496165694435,0.821475970372727
