dataset,roc_auc,f1_score,accuracy,precision,recall,roc_curve,best_threshold
1000genome,0.9241924851680949,0.5663716814159292,0.8807785888077859,0.4444444444444444,0.7804878048780488,"([0.0, 0.0, 0.0, 0.002702702702702703, 0.002702702702702703, 0.005405405405405406, 0.005405405405405406, 0.05405405405405406, 0.05945945945945946, 0.08108108108108109, 0.08108108108108109, 0.08378378378378379, 0.08378378378378379, 0.08648648648648649, 0.08648648648648649, 0.0918918918918919, 0.0918918918918919, 0.1, 0.1, 0.10270270270270271, 0.10270270270270271, 0.10810810810810811, 0.10810810810810811, 0.15675675675675677, 0.15675675675675677, 0.20810810810810812, 0.20810810810810812, 0.22162162162162163, 0.22162162162162163, 0.22432432432432434, 0.22432432432432434, 0.25405405405405407, 0.25405405405405407, 1.0], [0.0, 0.024390243902439025, 0.3170731707317073, 0.3170731707317073, 0.36585365853658536, 0.36585365853658536, 0.4146341463414634, 0.4146341463414634, 0.4146341463414634, 0.4146341463414634, 0.4878048780487805, 0.4878048780487805, 0.6341463414634146, 0.6341463414634146, 0.6829268292682927, 0.6829268292682927, 0.7073170731707317, 0.7073170731707317, 0.7560975609756098, 0.7560975609756098, 0.7804878048780488, 0.7804878048780488, 0.8048780487804879, 0.8048780487804879, 0.8536585365853658, 0.8536585365853658, 0.8780487804878049, 0.8780487804878049, 0.9024390243902439, 0.9024390243902439, 0.975609756097561, 0.975609756097561, 1.0, 1.0], [inf, 8402801152.0, 270866336.0, 218075344.0, 217747824.0, 214324576.0, 210734256.0, 15698330.0, 14602633.0, 6341935.0, 5916502.0, 5536157.0, 3820756.5, 3709330.75, 3472117.0, 3177579.5, 3134773.0, 2918730.0, 2656546.25, 2653817.25, 2410868.25, 2216528.25, 2088212.875, 1884323.625, 1867723.0, 1824157.5, 1819842.25, 1804341.0, 1740867.25, 1708215.5, 1387234.25, 1172685.125, 1172557.375, 0.05920719355344772])",2088212.875
casa_nowcast,0.9902666666666666,0.9130434782608695,0.984,1.0,0.84,"([0.0, 0.0, 0.0, 0.057777777777777775, 0.057777777777777775, 0.06444444444444444, 0.06444444444444444, 0.06888888888888889, 0.06888888888888889, 0.07555555555555556, 0.07555555555555556, 0.09333333333333334, 0.09333333333333334, 1.0], [0.0, 0.02, 0.86, 0.86, 0.9, 0.9, 0.92, 0.92, 0.96, 0.96, 0.98, 0.98, 1.0, 1.0], [inf, 12014530560.0, 23106.0234375, 9.103373527526855, 7.932586193084717, 7.672887802124023, 7.579835414886475, 7.098748683929443, 6.4120402336120605, 5.868679046630859, 4.74662446975708, 2.197260618209839, 2.138465166091919, 0.04311975836753845])",23106.0234375
casa_wind_speed,0.8936160276467566,0.5853658536585366,0.8950617283950617,0.4864864864864865,0.7346938775510204,"([0.0, 0.002288329519450801, 0.011441647597254004, 0.011441647597254004, 0.02288329519450801, 0.02745995423340961, 0.041189931350114416, 0.041189931350114416, 0.041189931350114416, 0.041189931350114416, 0.059496567505720827, 0.059496567505720827, 0.059496567505720827, 0.06407322654462243, 0.06407322654462243, 0.06864988558352403, 0.06864988558352403, 0.07551487414187644, 0.07551487414187644, 0.07551487414187644, 0.07551487414187644, 0.08009153318077804, 0.08009153318077804, 0.08695652173913043, 0.08695652173913043, 0.10755148741418764, 0.10755148741418764, 0.16247139588100687, 0.16247139588100687, 0.21967963386727687, 0.21967963386727687, 0.2494279176201373, 0.2494279176201373, 0.2517162471395881, 0.2517162471395881, 0.2585812356979405, 0.2585812356979405, 0.2791762013729977, 0.2791762013729977, 0.2814645308924485, 0.2814645308924485, 0.2837528604118993, 0.2837528604118993, 1.0], [0.0, 0.0, 0.0, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.14285714285714285, 0.1836734693877551, 0.2653061224489796, 0.2653061224489796, 0.3469387755102041, 0.3877551020408163, 0.3877551020408163, 0.40816326530612246, 0.40816326530612246, 0.42857142857142855, 0.42857142857142855, 0.5102040816326531, 0.5510204081632653, 0.5714285714285714, 0.5714285714285714, 0.6530612244897959, 0.6530612244897959, 0.7551020408163265, 0.7551020408163265, 0.7755102040816326, 0.7755102040816326, 0.7959183673469388, 0.7959183673469388, 0.8163265306122449, 0.8163265306122449, 0.8367346938775511, 0.8367346938775511, 0.8571428571428571, 0.8571428571428571, 0.8775510204081632, 0.8775510204081632, 0.9387755102040817, 0.9387755102040817, 0.9795918367346939, 0.9795918367346939, 1.0, 1.0], [inf, 55778897920.0, 18588008448.0, 17239996416.0, 13551335424.0, 13146241024.0, 11396610048.0, 9519279104.0, 9399150592.0, 7566624256.0, 5409650688.0, 5244866560.0, 5244865024.0, 5076553216.0, 5052352000.0, 4833061888.0, 4711078400.0, 4345124864.0, 3893172992.0, 3893172224.0, 3705962752.0, 3705961472.0, 3645986560.0, 3427597568.0, 3265769984.0, 2880709632.0, 2869372672.0, 2682135808.0, 2681313024.0, 2346211328.0, 2343014912.0, 2251771392.0, 2244848384.0, 2236947968.0, 2217524736.0, 2201712640.0, 2197886720.0, 2131806592.0, 2122715136.0, 2122713856.0, 2122711552.0, 2109571200.0, 2041920768.0, 0.032796408981084824])",3265769984.0
eht_difmap,1.0,0.9473684210526315,0.98989898989899,1.0,0.9,"([0.0, 0.0, 0.0, 1.0], [0.0, 0.1, 1.0, 1.0], [inf, 1841511.25, 1673526.625, 0.024720583111047745])",1673526.625
eht_imaging,0.953125,0.6666666666666666,0.9166666666666666,0.6,0.75,"([0.0, 0.0, 0.0625, 0.0625, 1.0], [0.0, 0.25, 0.25, 1.0, 1.0], [inf, 8997.09375, 8982.392578125, 8931.556640625, 0.0805748850107193])",8931.556640625
eht_smili,0.9813953488372092,0.8,0.9583333333333334,0.8,0.8,"([0.0, 0.0, 0.023255813953488372, 0.023255813953488372, 1.0], [0.0, 0.2, 0.2, 1.0, 1.0], [inf, 3627.003662109375, 3626.997314453125, 3582.895751953125, 0.10814367234706879])",3582.895751953125
montage,0.9812000000000001,0.9130434782608695,0.984,1.0,0.84,"([0.0, 0.0, 0.0, 0.008888888888888889, 0.008888888888888889, 0.042222222222222223, 0.04666666666666667, 0.20222222222222222, 0.20222222222222222, 0.30666666666666664, 0.30666666666666664, 1.0], [0.0, 0.02, 0.86, 0.86, 0.92, 0.92, 0.92, 0.92, 0.98, 0.98, 1.0, 1.0], [inf, 763440463872.0, 27409555456.0, 11543379968.0, 11329799168.0, 8134075392.0, 8133753344.0, 2014880384.0, 1931246208.0, 1235729280.0, 1202818944.0, 0.009335746988654137])",27409555456.0
predict_future_sales,0.9956404494382022,0.9108910891089109,0.9818181818181818,0.9019607843137255,0.92,"([0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022471910112359553, 0.0022471910112359553, 0.0044943820224719105, 0.0044943820224719105, 0.006741573033707865, 0.006741573033707865, 0.011235955056179775, 0.011235955056179775, 0.029213483146067417, 0.029213483146067417, 0.36404494382022473, 0.3685393258426966, 0.3752808988764045, 0.5955056179775281, 0.6, 0.6404494382022472, 0.647191011235955, 0.6921348314606741, 0.6966292134831461, 1.0], [0.0, 0.02, 0.06, 0.12, 0.16, 0.6, 0.6, 0.64, 0.64, 0.66, 0.66, 0.82, 0.82, 0.94, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [inf, 3323283558629376.0, 3323280605839360.0, 2449206174285824.0, 2449118127456256.0, 310052782080.0, 235245338624.0, 149408071680.0, 42202030080.0, 40312078336.0, 25932238848.0, 7876485632.0, 5009886720.0, 2878380032.0, 2197900544.0, 1345957888.0, 2.181032657623291, 2.1250810623168945, 2.1034810543060303, 0.6830122470855713, 0.6823387145996094, 0.6044944524765015, 0.5988864898681641, 0.5551849007606506, 0.5410974621772766, 0.01221658755093813])",2878380032.0
pycbc_inference,0.9478260869565217,0.5714285714285714,0.9411764705882353,1.0,0.4,"([0.0, 0.0, 0.0, 0.13043478260869565, 0.13043478260869565, 1.0], [0.0, 0.2, 0.6, 0.6, 1.0, 1.0], [inf, 1456489.125, 1444717.875, 172083.0625, 64694.54296875, 0.03902982920408249])",1444717.875
pycbc_search,0.9594666666666666,0.6713286713286714,0.906,0.5161290322580645,0.96,"([0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.008888888888888889, 0.008888888888888889, 0.011111111111111112, 0.011111111111111112, 0.015555555555555555, 0.015555555555555555, 0.022222222222222223, 0.022222222222222223, 0.03111111111111111, 0.03111111111111111, 0.03333333333333333, 0.03777777777777778, 0.04, 0.04, 0.04, 0.05333333333333334, 0.05333333333333334, 0.057777777777777775, 0.057777777777777775, 0.06444444444444444, 0.06444444444444444, 0.06666666666666667, 0.06666666666666667, 0.08, 0.08444444444444445, 0.08444444444444445, 0.09777777777777778, 0.09777777777777778, 0.1, 0.1, 0.10444444444444445, 0.10888888888888888, 0.10888888888888888, 1.0], [0.0, 0.02, 0.06, 0.1, 0.24, 0.24, 0.32, 0.36, 0.36, 0.38, 0.38, 0.42, 0.42, 0.44, 0.44, 0.46, 0.46, 0.48, 0.48, 0.48, 0.48, 0.54, 0.58, 0.58, 0.6, 0.6, 0.62, 0.62, 0.72, 0.72, 0.76, 0.76, 0.76, 0.82, 0.82, 0.96, 0.96, 0.98, 0.98, 0.98, 1.0, 1.0], [inf, 1706194548817920.0, 1706181261262848.0, 1678522879836160.0, 52070.12890625, 47334.5703125, 41209.13671875, 39623.62890625, 35137.8515625, 35009.2578125, 34225.02734375, 33448.61328125, 33348.47265625, 32772.5625, 31702.302734375, 31624.134765625, 31359.064453125, 31094.787109375, 30933.732421875, 30698.9609375, 30698.95703125, 30308.068359375, 29982.681640625, 29647.28515625, 29463.447265625, 29285.26171875, 29251.236328125, 29237.89453125, 28023.423828125, 27469.435546875, 27441.05078125, 26958.943359375, 26882.87109375, 26713.056640625, 26452.876953125, 26399.068359375, 26281.017578125, 26195.541015625, 26119.044921875, 26113.458984375, 25875.673828125, 0.008470670320093632])",26195.541015625
