dataset,accuracy,precision,recall,f1_score,roc_auc
1000genome,0.8491484184914841,0.2642857142857143,0.6379310344827587,0.37373737373737376,0.8616401877595234
casa_nowcast,0.8429440973890757,0.13742494996664442,0.23569794050343248,0.17361989043404974,0.2744829285730614
casa_wind_speed,0.8775720164609053,0.3621621621621622,0.9852941176470589,0.5296442687747036,0.9395334461218116
eht_difmap,0.9696969696969697,0.7,1.0,0.8235294117647058,0.9918478260869565
eht_imaging,0.9861111111111112,1.0,0.8,0.8888888888888888,0.8626865671641791
eht_smili,1.0,1.0,1.0,1.0,1.0
montage,0.9724799010513296,0.7353951890034365,0.9469026548672567,0.8278529980657641,0.9819860901901712
predict_future_sales,0.8363636363636363,0.24022346368715083,0.6231884057971014,0.3467741935483871,0.838675667595084
pycbc_inference,0.9411764705882353,0.5384615384615384,1.0,0.7,0.956390977443609
pycbc_search,0.8147644927536232,0.22629310344827586,0.6774193548387096,0.3392568659127625,0.8651414923872226
somospie,0.8944444444444445,0.3617021276595745,0.68,0.4722222222222222,0.9153432835820895
variant_calling,0.6199460916442049,0.15568862275449102,1.0,0.2694300518134715,0.6516072092159049
