dataset,roc_auc,f1_score,accuracy,precision,recall,roc_curve,best_threshold
1000genome,,0.0,0.0072992700729927005,0.0,0.0,"([0.0, 0.0072992700729927005, 1.0], [nan, nan, nan], [inf, 1.3539460916864614e+17, 2928128582221824.0])",2928128582221824.0
casa_nowcast,,0.0,0.001,0.0,0.0,"([0.0, 0.001, 0.005, 0.007, 0.01, 0.012, 0.014, 0.02, 0.024, 0.027, 0.029, 0.032, 0.035, 0.037, 0.038, 0.04, 0.042, 0.044, 0.046, 0.048, 0.05, 0.052, 0.054, 0.056, 0.059, 0.061, 0.069, 0.071, 0.078, 0.08, 0.514, 0.516, 0.793, 0.795, 0.985, 0.987, 1.0], [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [inf, 1.4719059081822208e+17, 1.277648574653399e+17, 1.2751626475824742e+17, 1.2710155989601485e+17, 1.2668699247273574e+17, 1.2668698388280115e+17, 1.2376651779067085e+17, 1.2376650061080166e+17, 1.2341702771186074e+17, 1.2263765435639398e+17, 1.226376457664594e+17, 1.1691090817266483e+17, 1.1542433409217331e+17, 1.1403413048786944e+17, 1.1378438672954163e+17, 1.1246949108180582e+17, 1.1174188067219046e+17, 1.1020980570816512e+17, 1.0835589166478131e+17, 1.052368005150802e+17, 1.0504101013592474e+17, 1.0010407407819162e+17, 9.967291949121536e+16, 9.71996282140754e+16, 9.71996196241408e+16, 9.096745027895296e+16, 9.096458124079923e+16, 8.808893742736998e+16, 8.801833675495834e+16, 6547028565819392.0, 6518786471493632.0, 4656495631269888.0, 4656295378419712.0, 4375550277713920.0, 4375497932800000.0, 4374315206180864.0])",4374315206180864.0
casa_wind_speed,,0.0,0.006172839506172839,0.0,0.0,"([0.0, 0.006172839506172839, 1.0], [nan, nan, nan], [inf, 1.0568320223595725e+17, 4996232913092608.0])",4996232913092608.0
eht_difmap,,0.0,0.030303030303030304,0.0,0.0,"([0.0, 0.030303030303030304, 1.0], [nan, nan, nan], [inf, 1.8515202004117094e+17, 8254873455820800.0])",8254873455820800.0
eht_imaging,,0.0,0.08333333333333333,0.0,0.0,"([0.0, 0.08333333333333333, 1.0], [nan, nan, nan], [inf, 1.73051516620374e+17, 1.6578241976336384e+16])",1.6578241976336384e+16
eht_smili,,0.0,0.0625,0.0,0.0,"([0.0, 0.0625, 1.0], [nan, nan, nan], [inf, 2.341202650327941e+17, 1.4016326196527104e+16])",1.4016326196527104e+16
montage,,0.0,0.0018552875695732839,0.0,0.0,"([0.0, 0.0018552875695732839, 0.03896103896103896, 0.04267161410018553, 0.08163265306122448, 0.08534322820037106, 0.21521335807050093, 0.2189239332096475, 1.0], [nan, nan, nan, nan, nan, nan, nan, nan, nan], [inf, 1.903150345874309e+17, 8.653366105001165e+16, 8.602510256242688e+16, 7.985564832969523e+16, 7.984317574466765e+16, 7.31343852887081e+16, 7.309209704071168e+16, 2.093476796484813e+16])",2.093476796484813e+16
predict_future_sales,,0.0,0.006060606060606061,0.0,0.0,"([0.0, 0.006060606060606061, 0.024242424242424242, 0.03636363636363636, 0.2545454545454545, 0.26666666666666666, 0.2909090909090909, 0.30303030303030304, 0.3939393939393939, 0.4121212121212121, 0.6121212121212121, 0.6242424242424243, 0.6727272727272727, 0.6848484848484848, 0.9090909090909091, 0.9212121212121213, 1.0], [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [inf, 1.5272610959605105e+18, 2.376262640163881e+17, 2.3732037644556698e+17, 5.329275307268506e+16, 5.319318714082918e+16, 4.857224041699738e+16, 4.775965837439795e+16, 4.483359164491366e+16, 4.483357017007718e+16, 3.336501105734451e+16, 3.082614207204557e+16, 2.9806188270977024e+16, 2.9602465087225856e+16, 1.9417991674331136e+16, 1.94179766419456e+16, 1.523933316644864e+16])",1.523933316644864e+16
pycbc_inference,,0.0,0.058823529411764705,0.0,0.0,"([0.0, 0.058823529411764705, 1.0], [nan, nan, nan], [inf, 1.7435670564202086e+17, 4.248133254617498e+16])",4.248133254617498e+16
pycbc_search,,0.0,0.002717391304347826,0.0,0.0,"([0.0, 0.005434782608695652, 0.010869565217391304, 0.016304347826086956, 0.019021739130434784, 0.029891304347826088, 1.0], [nan, nan, nan, nan, nan, nan, nan], [inf, 1.8051495001010995e+17, 1.6803657536661094e+17, 1.6415940530929664e+17, 1.6095027446520218e+17, 1.4008750518462054e+17, 7162064661381120.0])",7162064661381120.0
somospie,,0.0,0.016666666666666666,0.0,0.0,"([0.0, 0.016666666666666666, 0.15, 0.18333333333333332, 1.0], [nan, nan, nan, nan, nan], [inf, 1.1878571293697638e+17, 9.34305624836014e+16, 9.310299391787008e+16, 1.5650771706052608e+16])",1.5650771706052608e+16
variant_calling,,0.0,0.0026954177897574125,0.0,0.0,"([0.0, 0.0026954177897574125, 0.16711590296495957, 0.1725067385444744, 0.19137466307277629, 0.1967654986522911, 0.2398921832884097, 0.24528301886792453, 1.0], [nan, nan, nan, nan, nan, nan, nan, nan, nan], [inf, 4.6032188168208384e+17, 1.0147791385709773e+17, 1.0126021055479808e+17, 8.732080829628416e+16, 8.732071380700365e+16, 7.515941082916454e+16, 7.41818247329874e+16, 1.2409578931093504e+16])",1.2409578931093504e+16
