dataset,accuracy,precision,recall,f1_score,roc_auc,best_threshold
1000genome,0.948905109489051,0.0,0.0,0.0,,0.0
casa_nowcast,0.9505,0.0,0.0,0.0,,0.0
casa_wind_speed,0.9604938271604938,0.0,0.0,0.0,,0.0
eht_difmap,0.9454545454545454,0.0,0.0,0.0,,0.0
eht_imaging,0.95,0.0,0.0,0.0,,0.0
eht_smili,0.95,0.0,0.0,0.0,,0.0
montage,0.95,0.0,0.0,0.0,,0.0
predict_future_sales,0.9490909090909091,0.0,0.0,0.0,,0.0
pycbc_inference,0.9411764705882353,0.0,0.0,0.0,,0.0
pycbc_search,0.9505434782608696,0.0,0.0,0.0,,0.0
somospie,0.95,0.0,0.0,0.0,,0.0
variant_calling,0.9498652291105121,0.0,0.0,0.0,,0.0
