dataset,accuracy,f1_score,roc_auc
1000genome,0.6728764176368713,0.0,0.5
casa_nowcast,0.781936764717102,0.04645126942401757,0.6214350729465993
casa_wind_speed,0.7898069024085999,0.03768115942028986,0.6604885329291821
eht_difmap,0.7896009683609009,0.01509433962264151,0.6779154793688491
eht_imaging,0.8106312155723572,0.0,0.3407271594286262
eht_smili,0.8026533722877502,0.04032258064516129,0.7506966011042098
montage,0.7922158241271973,0.021477975973789587,0.6784089703634714
predict_future_sales,0.8152775764465332,0.0008093889113719142,0.7512258022155047
pycbc_inference,0.8337236642837524,0.3106796116504854,0.8516851072630232
pycbc_search,0.8141915798187256,0.0011547344110854503,0.6719206196766068
somospie,0.8132013082504272,0.009334889148191364,0.7431121830618077
variant_calling,0.7850157022476196,0.0016899028305872412,0.6603870408690977
