Dataset,ROC_AUC,F1_Score,Accuracy,Precision,Recall,Model,Source
eht_difmap,1.0,0.6666666666666666,0.9696969696969697,1.0,0.5,paraphrase-MiniLM-L6-v2,improved
eht_imaging,0.9976410814734168,0.0,0.9145043246839654,0.0,0.0,paraphrase-MiniLM-L6-v2,improved
montage,0.939101314539911,0.6426858513189448,0.9078540507111935,0.475177304964539,0.9925925925925926,sentence-bert,original
eht_smili,0.9333333333333333,0.0,0.875,0.0,0.0,paraphrase-MiniLM-L6-v2,improved
pycbc_search,0.7661925445086154,0.41830065359477125,0.9193840579710145,0.4507042253521127,0.3902439024390244,sentence-bert,original
variant_calling,0.6747367736903679,0.0,0.9847259658580413,0.0,0.0,sentence-bert,original
casa_nowcast,0.6673259113205732,0.0019880715705765406,0.807015857760692,0.000998003992015968,0.25,sentence-bert,isolationforest
1000genome,0.6667225388311542,0.4935064935064935,0.9430656934306569,0.95,0.3333333333333333,sentence-bert,isolationforest
pycbc_inference,0.6162790697674418,0.3684210526315789,0.5294117647058824,0.23333333333333334,0.875,sentence-bert,original
predict_future_sales,0.5671701112877583,0.28486646884273,0.5131313131313131,0.16783216783216784,0.9411764705882353,sentence-bert,original
somospie,0.5526000898614801,0.2383199622463426,0.786930693069307,0.18149146451033243,0.3469598076262453,paraphrase-MiniLM-L6-v2,improved
casa_wind_speed,0.5256853313407743,0.19393939393939394,0.7263374485596708,0.13793103448275862,0.32653061224489793,sentence-bert,original
