dataset,method,roc_auc,f1_score,accuracy,precision,recall,best_threshold
1000genome,sentence_bert_isolation_forest,0.6241955069823923,0.38596491228070173,0.9148418491484185,0.9166666666666666,0.24444444444444444,0.04108362579105823
casa_nowcast,sentence_bert_isolationforest,0.6673259113205732,0.0019880715705765406,0.807015857760692,0.000998003992015968,0.25,-0.0014633710211172657
casa_wind_speed,sentence_bert_isolation_forest,0.5256853313407743,0.19393939393939394,0.7263374485596708,0.13793103448275862,0.32653061224489793,-0.004518772038637375
eht_difmap,sentence_bert_isolation_forest,0.36597938144329895,0.0,0.5858585858585859,0.0,0.0,-0.08758109862626368
eht_imaging,sentence_bert_isolation_forest,0.2867647058823529,0.06896551724137931,0.25,0.037037037037037035,0.5,-0.14953742938426362
eht_smili,sentence_bert_isolation_forest,0.276595744680851,0.0,0.2708333333333333,0.0,0.0,-0.1815619507266723
montage,sentence_bert_isolation_forest,0.939101314539911,0.6426858513189448,0.9078540507111935,0.475177304964539,0.9925925925925926,-0.027496057597759305
predict_future_sales,sentence_bert_isolation_forest,0.5671701112877583,0.28486646884273,0.5131313131313131,0.16783216783216784,0.9411764705882353,-0.15780848474611398
pycbc_inference,sentence_bert_isolation_forest,0.6162790697674418,0.3684210526315789,0.5294117647058824,0.23333333333333334,0.875,-0.05810280950889435
pycbc_search,sentence_bert_isolation_forest,0.7661925445086154,0.41830065359477125,0.9193840579710145,0.4507042253521127,0.3902439024390244,0.020951799041777686
somospie,sentence_bert_isolation_forest,0.49313131313131314,0.16666666666666666,0.8333333333333334,0.14285714285714285,0.2,-0.008538440566115635
variant_calling,sentence_bert_isolation_forest,0.6747367736903679,0.0,0.9847259658580413,0.0,0.0,0.1137148974223271
